datetime,cash,position_value,equity
2025-05-27,1000000.0,0.0,1000000.0
2025-05-28,1000000.0,0.0,1000000.0
2025-05-29,1000000.0,0.0,1000000.0
2025-06-02,1000000.0,0.0,1000000.0
2025-06-03,1000000.0,0.0,1000000.0
2025-06-04,1000000.0,0.0,1000000.0
2025-06-05,1000000.0,0.0,1000000.0
2025-06-06,1000000.0,0.0,1000000.0
2025-06-09,1000000.0,0.0,1000000.0
2025-06-10,1000000.0,0.0,1000000.0
2025-06-11,1000000.0,0.0,1000000.0
2025-06-12,1000000.0,0.0,1000000.0
2025-06-13,1000000.0,0.0,1000000.0
2025-06-16,1000000.0,0.0,1000000.0
2025-06-17,1000000.0,0.0,1000000.0
2025-06-18,1000000.0,0.0,1000000.0
2025-06-19,1000000.0,0.0,1000000.0
2025-06-20,1000000.0,0.0,1000000.0
2025-06-23,1000000.0,0.0,1000000.0
2025-06-24,1000000.0,0.0,1000000.0
2025-06-25,1000000.0,0.0,1000000.0
2025-06-26,1000000.0,0.0,1000000.0
2025-06-27,1000000.0,0.0,1000000.0
2025-06-30,1000000.0,0.0,1000000.0
2025-07-01,1000000.0,0.0,1000000.0
2025-07-02,1000000.0,0.0,1000000.0
2025-07-03,1000000.0,0.0,1000000.0
2025-07-04,1000000.0,0.0,1000000.0
2025-07-07,1000000.0,0.0,1000000.0
2025-07-08,1000000.0,0.0,1000000.0
2025-07-09,1000000.0,0.0,1000000.0
2025-07-10,1000000.0,0.0,1000000.0
2025-07-11,1000000.0,0.0,1000000.0
2025-07-14,1000000.0,0.0,1000000.0
2025-07-15,1000000.0,0.0,1000000.0
2025-07-16,1000000.0,0.0,1000000.0
2025-07-17,1000000.0,0.0,1000000.0
2025-07-18,1000000.0,0.0,1000000.0
2025-07-21,1000000.0,0.0,1000000.0
2025-07-22,1000000.0,0.0,1000000.0
2025-07-23,1000000.0,0.0,1000000.0
2025-07-24,1000000.0,0.0,1000000.0
2025-07-25,1000000.0,0.0,1000000.0
2025-07-28,1000000.0,0.0,1000000.0
2025-07-29,1000000.0,0.0,1000000.0
2025-07-30,1000000.0,0.0,1000000.0
2025-07-31,1000000.0,0.0,1000000.0
2025-08-01,1000000.0,0.0,1000000.0
2025-08-04,1000000.0,0.0,1000000.0
2025-08-05,1000000.0,0.0,1000000.0
2025-08-06,1000000.0,0.0,1000000.0
2025-08-07,1000000.0,0.0,1000000.0
2025-08-08,1000000.0,0.0,1000000.0
2025-08-11,1000000.0,0.0,1000000.0
2025-08-12,1000000.0,0.0,1000000.0
2025-08-13,1000000.0,0.0,1000000.0
2025-08-14,1000000.0,0.0,1000000.0
2025-08-15,1000000.0,0.0,1000000.0
2025-08-18,1000000.0,0.0,1000000.0
2025-08-19,1000000.0,0.0,1000000.0
2025-08-20,1000000.0,0.0,1000000.0
2025-08-21,1000000.0,0.0,1000000.0
2025-08-22,1000000.0,0.0,1000000.0
2025-08-25,1000000.0,0.0,1000000.0
2025-08-26,1000000.0,0.0,1000000.0
2025-08-27,1000000.0,0.0,1000000.0
2025-08-28,1000000.0,0.0,1000000.0
2025-08-29,1000000.0,0.0,1000000.0
2025-09-01,1000000.0,0.0,1000000.0
2025-09-02,1000000.0,0.0,1000000.0
2025-09-03,1000000.0,0.0,1000000.0
2025-09-04,1000000.0,0.0,1000000.0
2025-09-05,1000000.0,0.0,1000000.0
2025-09-08,1000000.0,0.0,1000000.0
2025-09-09,800000.0,199615.19240379814,999615.1924037981
2025-09-10,800000.0,200771.25352427937,1000771.2535242793
2025-09-11,800000.0,200867.58218728623,1000867.5821872862
2025-09-12,900658.3727540027,101156.3439394937,1001814.7166934963
2025-09-15,900658.3727540027,101397.18512441068,1002055.5578784134
2025-09-16,900658.3727540027,101782.53883123775,1002440.9115852404
2025-09-17,900658.3727540027,101300.85646140379,1001959.2292154065
2025-09-18,900658.3727540027,101686.20040453097,1002344.5731585337
2025-09-19,900658.3727540027,102360.57915517823,1003018.951909181
2025-09-22,900658.3727540027,102986.78381062216,1003645.1565646249
2025-09-23,900658.3727540027,103227.63475923902,1003886.0075132417
2025-09-24,900658.3727540027,102986.78381062216,1003645.1565646249
2025-09-25,900658.3727540027,102986.78381062216,1003645.1565646249
2025-09-26,900658.3727540027,102264.24072847146,1002922.6134824741
2025-09-30,900658.3727540027,102890.44538391539,1003548.8181379181
2025-10-01,900658.3727540027,102264.24072847146,1002922.6134824741
2025-10-02,900658.3727540027,102312.41482367479,1002970.7875776775
2025-10-03,499412.25271416764,502931.0346107306,1002343.2873248982
2025-10-07,601775.3443986812,411532.785744513,1013308.1301431942
2025-10-08,601775.3443986812,407851.6141353089,1009626.9585339901
2025-10-09,601775.3443986812,412322.0589286409,1014097.4033273221
2025-10-13,601775.3443986812,406734.4760505988,1008509.82044928
2025-10-14,601775.3443986812,407134.6972526415,1008910.0416513227
2025-10-15,706026.4767421136,309874.6593614277,1015901.1361035414
2025-10-16,706026.4767421136,314076.3523890324,1020102.829131146
2025-10-17,706026.4767421136,310037.6605628413,1016064.1373049549
2025-10-20,706026.4767421136,314415.3722620157,1020441.8490041293
2025-10-21,706026.4767421136,314774.7870420286,1020801.2637841422
2025-10-22,706026.4767421136,312607.23951047024,1018633.7162525838
2025-10-23,706026.4767421136,311260.37523402605,1017286.8519761397
2025-10-27,706026.4767421136,316883.04322260665,1022909.5199647202
2025-10-28,706026.4767421136,315438.0164716282,1021464.4932137418
2025-10-29,706026.4767421136,319815.7355970168,1025842.2123391305
2025-10-30,706026.4767421136,319767.56150181347,1025794.0382439271
2025-10-31,706026.4767421136,319849.01013173384,1025875.4868738474
2025-11-03,706026.4767421136,319419.3058065481,1025445.7825486617
2025-11-04,706026.4767421136,318150.23561453715,1024176.7123566507
2025-11-05,706026.4767421136,313068.46853633353,1019094.9452784471
2025-11-06,706026.4767421136,314109.6381005165,1020136.1148426301
2025-11-07,808266.6229257853,208695.97494115168,1016962.5978669369
2025-11-10,808266.6229257853,211102.47515971155,1019369.0980854968
2025-11-11,808266.6229257853,209637.07302910328,1017903.6959548886
2025-11-12,808266.6229257853,210852.38936519454,1019119.0122909797
2025-11-13,808266.6229257853,209279.51706146775,1017546.139987253
2025-11-14,1012390.2151761996,0.0,1012390.2151761996
2025-11-17,1012390.2151761996,0.0,1012390.2151761996
2025-11-18,1012390.2151761996,0.0,1012390.2151761996
2025-11-19,1012390.2151761996,0.0,1012390.2151761996
2025-11-20,1012390.2151761996,0.0,1012390.2151761996
2025-11-21,1012390.2151761996,0.0,1012390.2151761996
2025-11-24,1012390.2151761996,0.0,1012390.2151761996
2025-11-25,1012390.2151761996,0.0,1012390.2151761996
2025-11-26,1012390.2151761996,0.0,1012390.2151761996
2025-11-27,1012390.2151761996,0.0,1012390.2151761996
2025-11-28,1012390.2151761996,0.0,1012390.2151761996
2025-12-01,1012390.2151761996,0.0,1012390.2151761996
2025-12-02,1012390.2151761996,0.0,1012390.2151761996
2025-12-03,1012390.2151761996,0.0,1012390.2151761996
2025-12-04,1012390.2151761996,0.0,1012390.2151761996
2025-12-05,1012390.2151761996,0.0,1012390.2151761996
2025-12-08,1012390.2151761996,0.0,1012390.2151761996
2025-12-09,1012390.2151761996,0.0,1012390.2151761996
2025-12-10,1012390.2151761996,0.0,1012390.2151761996
2025-12-11,1012390.2151761996,0.0,1012390.2151761996
2025-12-12,1012390.2151761996,0.0,1012390.2151761996
2025-12-15,809912.1721409597,202088.46759011966,1012000.6397310793
2025-12-16,809912.1721409597,201995.10293507887,1011907.2750760386
2025-12-17,912548.873905978,103144.46002351641,1015693.3339294945
2025-12-18,912548.873905978,103377.80724631593,1015926.6811522939
2025-12-19,912548.873905978,104124.55884857876,1016673.4327545568
2025-12-22,912548.873905978,105198.01312656725,1017746.8870325453
2025-12-23,912548.873905978,104824.6281233212,1017373.5020292993
2025-12-24,912548.873905978,105011.32062494423,1017560.1945309222
2025-12-26,912548.873905978,104917.97437413273,1017466.8482801107
2025-12-29,912548.873905978,104964.64749953848,1017513.5214055165
2025-12-30,912548.873905978,104917.97437413273,1017466.8482801107
2025-12-31,912548.873905978,104544.60777511593,1017093.481681094
2026-01-02,302292.7848973217,713626.5408903774,1015919.3257876991
2026-01-05,620238.6787843866,424156.7711519551,1044395.4499363417
2026-01-06,620238.6787843866,430467.64080843783,1050706.3195928244
2026-01-07,620238.6787843866,428829.1572383784,1049067.836022765
2026-01-08,620238.6787843866,429624.8672365679,1049863.5460209544
2026-01-09,620238.6787843866,428688.1784684465,1048926.857252833
2026-01-12,620238.6787843866,432704.86654989875,1052943.5453342854
2026-01-13,620238.6787843866,435771.7136773668,1056010.3924617535
2026-01-14,620238.6787843866,437303.01084023225,1057541.6896246187
2026-01-15,620238.6787843866,436431.8428049824,1056670.521589369
2026-01-16,620238.6787843866,446084.69603130175,1066323.3748156885
2026-01-19,405892.11465108563,665428.2950849279,1071320.4097360135
2026-01-20,405892.11465108563,667304.1147348545,1073196.2293859401
2026-01-21,405892.11465108563,658451.0052668005,1064343.119917886
2026-01-22,405892.11465108563,666557.198417158,1072449.3130682437
2026-01-23,405892.11465108563,670046.7960682432,1075938.9107193288
2026-01-26,514525.82770505943,563776.386682602,1078302.2143876613
2026-01-27,514525.82770505943,571743.2049001179,1086269.0326051773
2026-01-28,514525.82770505943,579830.0453792798,1094355.8730843393
2026-01-29,514525.82770505943,574292.1487723805,1088817.97647744
2026-01-30,729826.2483034462,345685.80367301323,1075512.0519764596
2026-02-02,954226.2173958693,113042.01444336714,1067268.2318392363
2026-02-03,954226.2173958693,115283.64414733116,1069509.8615432004
2026-02-04,954226.2173958693,114322.94234119788,1068549.1597370673
2026-02-05,954226.2173958693,113042.01444336714,1067268.2318392363
2026-02-06,954226.2173958693,114002.71624950042,1068228.9336453697
2026-02-09,954226.2173958693,116244.33810978413,1070470.5555056534
2026-02-10,954226.2173958693,120407.36358233438,1074633.5809782038
2026-02-11,954226.2173958693,122648.9854426181,1076875.2028384875
2026-02-23,954226.2173958693,121688.29148016512,1075914.5088760345
2026-02-24,954226.2173958693,125851.30910903508,1080077.5265049045
2026-02-25,954226.2173958693,129053.63277545206,1083279.8501713213
2026-02-26,954226.2173958693,127772.70487762133,1081998.9222734906
2026-03-02,954226.2173958693,126491.7769797906,1080717.9943756599
2026-03-03,954226.2173958693,123929.91334044884,1078156.1307363182
2026-03-04,1073084.8686385618,0.0,1073084.8686385618
2026-03-05,1073084.8686385618,0.0,1073084.8686385618
2026-03-06,1073084.8686385618,0.0,1073084.8686385618
2026-03-09,1073084.8686385618,0.0,1073084.8686385618
2026-03-10,1073084.8686385618,0.0,1073084.8686385618
2026-03-11,1073084.8686385618,0.0,1073084.8686385618
2026-03-12,1073084.8686385618,0.0,1073084.8686385618
2026-03-13,1073084.8686385618,0.0,1073084.8686385618
2026-03-16,1073084.8686385618,0.0,1073084.8686385618
2026-03-17,1073084.8686385618,0.0,1073084.8686385618
2026-03-18,1073084.8686385618,0.0,1073084.8686385618
2026-03-19,1073084.8686385618,0.0,1073084.8686385618
2026-03-20,1073084.8686385618,0.0,1073084.8686385618
2026-03-23,1073084.8686385618,0.0,1073084.8686385618
2026-03-24,1073084.8686385618,0.0,1073084.8686385618
2026-03-25,1073084.8686385618,0.0,1073084.8686385618
2026-03-26,1073084.8686385618,0.0,1073084.8686385618
2026-03-27,1073084.8686385618,0.0,1073084.8686385618
2026-03-30,1073084.8686385618,0.0,1073084.8686385618
2026-03-31,1073084.8686385618,0.0,1073084.8686385618
2026-04-01,1073084.8686385618,0.0,1073084.8686385618
2026-04-02,1073084.8686385618,0.0,1073084.8686385618
2026-04-07,1073084.8686385618,0.0,1073084.8686385618
2026-04-08,1073084.8686385618,0.0,1073084.8686385618
2026-04-09,1073084.8686385618,0.0,1073084.8686385618
2026-04-10,1073084.8686385618,0.0,1073084.8686385618
2026-04-13,1073084.8686385618,0.0,1073084.8686385618
2026-04-14,1073084.8686385618,0.0,1073084.8686385618
2026-04-15,1073084.8686385618,0.0,1073084.8686385618
2026-04-16,1073084.8686385618,0.0,1073084.8686385618
2026-04-17,1073084.8686385618,0.0,1073084.8686385618
2026-04-20,1073084.8686385618,0.0,1073084.8686385618
2026-04-21,1073084.8686385618,0.0,1073084.8686385618
2026-04-22,1073084.8686385618,0.0,1073084.8686385618
2026-04-23,1073084.8686385618,0.0,1073084.8686385618
2026-04-24,1073084.8686385618,0.0,1073084.8686385618
2026-04-27,1073084.8686385618,0.0,1073084.8686385618
2026-04-28,1073084.8686385618,0.0,1073084.8686385618
2026-04-29,1073084.8686385618,0.0,1073084.8686385618
2026-04-30,1073084.8686385618,0.0,1073084.8686385618
2026-05-04,1073084.8686385618,0.0,1073084.8686385618
2026-05-05,1073084.8686385618,0.0,1073084.8686385618
2026-05-06,1073084.8686385618,0.0,1073084.8686385618
2026-05-07,858467.8949108494,214204.04251889093,1072671.9374297403
2026-05-08,858467.8949108494,214540.9654109792,1073008.8603218286
2026-05-11,858467.8949108494,216899.48992013253,1075367.384830982
2026-05-12,858467.8949108494,216731.02044102148,1075198.915351871
2026-05-13,858467.8949108494,215214.8272612896,1073682.722172139
2026-05-14,858467.8949108494,218078.74414164227,1076546.6390524916
2026-05-15,858467.8949108494,216983.72465968804,1075451.6195705375
2026-05-18,858467.8949108494,215972.92385115553,1074440.8187620048
2026-05-19,858467.8949108494,216983.72465968804,1075451.6195705375
2026-05-20,858467.8949108494,218836.8407315082,1077304.7356423575
2026-05-21,969652.6756038221,111734.82750512964,1081387.5031089517
2026-05-22,969652.6756038221,112577.15080148418,1082229.8264053063
2026-05-25,969652.6756038221,115693.7638674365,1085346.4394712585
